date,nb_utxo
30/03/2012,1461221
31/03/2012,1464621
01/04/2012,1467532
02/04/2012,1468580
03/04/2012,1469461
04/04/2012,1472045
05/04/2012,1472093
06/04/2012,1471866
07/04/2012,1474782
08/04/2012,1478296
09/04/2012,1481116
10/04/2012,1484978
11/04/2012,1486902
12/04/2012,1489310
13/04/2012,1492489
14/04/2012,1496298
15/04/2012,1499348
16/04/2012,1501654
17/04/2012,1502279
18/04/2012,1502640
19/04/2012,1504226
20/04/2012,1503570
21/04/2012,1504982
22/04/2012,1507069
23/04/2012,1509177
24/04/2012,1512470
25/04/2012,1515519
26/04/2012,1520036
27/04/2012,1522298
28/04/2012,1525825
29/04/2012,1529494
30/04/2012,1532913
01/05/2012,1535984
02/05/2012,1537366
03/05/2012,1541806
04/05/2012,1545569
05/05/2012,1549635
06/05/2012,1549401
07/05/2012,1552754
08/05/2012,1557018
09/05/2012,1558449
10/05/2012,1559618
11/05/2012,1561616
12/05/2012,1563926
13/05/2012,1567321
14/05/2012,1570513
15/05/2012,1572598
16/05/2012,1572969
17/05/2012,1575534
18/05/2012,1578355
19/05/2012,1581769
20/05/2012,1585865
21/05/2012,1590193
22/05/2012,1593431
23/05/2012,1597045
24/05/2012,1600894
25/05/2012,1604909
26/05/2012,1608062
27/05/2012,1611107
28/05/2012,1613687
29/05/2012,1615994
30/05/2012,1619005
31/05/2012,1622345
01/06/2012,1625710
02/06/2012,1629255
03/06/2012,1633725
04/06/2012,1634836
05/06/2012,1640221
06/06/2012,1642460
07/06/2012,1644397
08/06/2012,1646119
09/06/2012,1649057
10/06/2012,1655590
11/06/2012,1660348
12/06/2012,1662700
13/06/2012,1671133
14/06/2012,1674813
15/06/2012,1677986
16/06/2012,1679360
17/06/2012,1691525
18/06/2012,1695037
19/06/2012,1697593
20/06/2012,1704052
21/06/2012,1708339
22/06/2012,1711024
23/06/2012,1715426
24/06/2012,1717669
25/06/2012,1722334
26/06/2012,1729817
27/06/2012,1737418
28/06/2012,1742229
29/06/2012,1748879
30/06/2012,1754990
01/07/2012,1760182
02/07/2012,1766666
03/07/2012,1773118
04/07/2012,1779632
05/07/2012,1784343
06/07/2012,1789033
07/07/2012,1793722
08/07/2012,1797999
09/07/2012,1803438
10/07/2012,1808145
11/07/2012,1812769
12/07/2012,1815139
13/07/2012,1817510
14/07/2012,1821577
15/07/2012,1825567
16/07/2012,1828225
17/07/2012,1830208
18/07/2012,1829639
19/07/2012,1830223
20/07/2012,1836822
21/07/2012,1843386
22/07/2012,1852115
23/07/2012,1857791
24/07/2012,1862704
25/07/2012,1871709
26/07/2012,1877383
27/07/2012,1885841
28/07/2012,1898405
29/07/2012,1904639
30/07/2012,1903840
31/07/2012,1907670
01/08/2012,1911859
02/08/2012,1915981
03/08/2012,1921926
04/08/2012,1926539
05/08/2012,1933454
06/08/2012,1942343
07/08/2012,1953258
08/08/2012,1961906
09/08/2012,1964846
10/08/2012,1974706
11/08/2012,1985287
12/08/2012,1999330
13/08/2012,2019945
14/08/2012,2028999
15/08/2012,2036245
16/08/2012,2040181
17/08/2012,2042334
18/08/2012,2048471
19/08/2012,2038695
20/08/2012,2041418
21/08/2012,2053918
22/08/2012,2061698
23/08/2012,2073658
24/08/2012,2083548
25/08/2012,2091672
26/08/2012,2098754
27/08/2012,2105375
28/08/2012,2116954
29/08/2012,2127360
30/08/2012,2132707
31/08/2012,2142117
01/09/2012,2152292
02/09/2012,2161990
03/09/2012,2167735
04/09/2012,2172926
05/09/2012,2177270
06/09/2012,2185030
07/09/2012,2191527
08/09/2012,2198209
09/09/2012,2207810
10/09/2012,2215997
11/09/2012,2227947
12/09/2012,2239058
13/09/2012,2246036
14/09/2012,2255806
15/09/2012,2263824
16/09/2012,2270917
17/09/2012,2277751
18/09/2012,2287941
19/09/2012,2297923
20/09/2012,2310677
21/09/2012,2317798
22/09/2012,2318474
23/09/2012,2329109
24/09/2012,2336071
25/09/2012,2349035
26/09/2012,2356399
